,count,mean,std,min,1%,5%,10%,15%,25%,50%,75%,90%,95%,99%,max
grad year,4566,2006,0,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006
age,4566,19.14942409,5.858061179,5.194,16.9243,18.073,18.229,18.3045,18.431,18.795,19.1494,19.187,19.37225,20.14945,106.927
friends,4566,26.12045554,32.06536912,0,0,0,0,0,2,16,38,65,87,145,373
basketball,4566,0.211344722,0.759756164,0,0,0,0,0,0,0,0,1,1,3,22
football,4566,0.228865528,0.686249793,0,0,0,0,0,0,0,0,1,1,3,10
soccer,4566,0.150897941,0.699715373,0,0,0,0,0,0,0,0,0,1,3,14
softball,4566,0.105124836,0.596363584,0,0,0,0,0,0,0,0,0,1,3,12
volleyball,4566,0.091108191,0.49357293,0,0,0,0,0,0,0,0,0,1,2,11
swimming,4566,0.101182654,0.39968597,0,0,0,0,0,0,0,0,0,1,2,7
cheerleading,4566,0.073587385,0.440370908,0,0,0,0,0,0,0,0,0,0,2,9
baseball,4566,0.098773544,0.583161518,0,0,0,0,0,0,0,0,0,1,2,16
tennis,4566,0.073587385,0.447280853,0,0,0,0,0,0,0,0,0,0,2,9
sports,4566,0.111695138,0.401267291,0,0,0,0,0,0,0,0,0,1,2,6
cute,4566,0.285151117,0.747208496,0,0,0,0,0,0,0,0,1,2,4,8
sex,4566,0.213534823,1.847102082,0,0,0,0,0,0,0,0,1,1,4,114
sexy,4566,0.110600088,0.420490236,0,0,0,0,0,0,0,0,0,1,2,6
hot,4566,0.090013141,0.396591336,0,0,0,0,0,0,0,0,0,1,2,5
kissed,4566,0.076872536,0.393823546,0,0,0,0,0,0,0,0,0,0.75,2,5
dance,4566,0.356986421,1.121346411,0,0,0,0,0,0,0,0,1,2,4,30
band,4566,0.280770915,1.108964931,0,0,0,0,0,0,0,0,1,2,5,34
marching,4566,0.046211126,0.293503762,0,0,0,0,0,0,0,0,0,0,1,6
music,4566,0.708716601,1.186506195,0,0,0,0,0,0,0,1,2,3,5,25
rock,4566,0.196890057,0.610244028,0,0,0,0,0,0,0,0,1,1,2,15
god,4566,0.485107315,1.743615316,0,0,0,0,0,0,0,1,1,2,6,79
church,4566,0.239159001,1.050617966,0,0,0,0,0,0,0,0,1,2,4,44
jesus,4566,0.111257118,0.545313878,0,0,0,0,0,0,0,0,0,1,2,16
bible,4566,0.027376259,0.247474856,0,0,0,0,0,0,0,0,0,0,1,8
hair,4566,0.32325887,0.905244535,0,0,0,0,0,0,0,0,1,2,5,10
dress,4566,0.138852387,0.519913968,0,0,0,0,0,0,0,0,0,1,3,6
blonde,4566,0.05978975,0.353569623,0,0,0,0,0,0,0,0,0,0,1,7
mall,4566,0.17761717,0.57986524,0,0,0,0,0,0,0,0,1,1,3,11
shopping,4566,0.308585195,0.657620834,0,0,0,0,0,0,0,0,1,2,3,8
clothes,4566,0.11804643,0.408393045,0,0,0,0,0,0,0,0,0,1,2,7
hollister,4566,0.040516864,0.252698202,0,0,0,0,0,0,0,0,0,0,1,4
abercrombie,4566,0.031975471,0.218193108,0,0,0,0,0,0,0,0,0,0,1,4
die,4566,0.151992992,0.521291862,0,0,0,0,0,0,0,0,1,1,2,8
death,4566,0.11629435,0.461258743,0,0,0,0,0,0,0,0,0,1,2,14
drunk,4566,0.103810775,0.437756326,0,0,0,0,0,0,0,0,0,1,2,7
drugs,4566,0.050153307,0.358747637,0,0,0,0,0,0,0,0,0,0,1,16
